year,mean_APC_gold_2A_1.25,mean_APC_min_gold_2A_1.25,mean_APC_max_gold_2A_1.25,nb_articles_gold_2A_1.25,nb_articles_min_gold_2A_1.25,nb_articles_max_gold_2A_1.25,montant_apc_gold_2A_1.25,montant_apc_min_gold_2A_1.25,montant_apc_max_gold_2A_1.25,mean_APC_hybridOA_2A_1.25,mean_APC_min_hybridOA_2A_1.25,mean_APC_max_hybridOA_2A_1.25,nb_articles_hybridOA_2A_1.25,nb_articles_min_hybridOA_2A_1.25,nb_articles_max_hybridOA_2A_1.25,montant_apc_hybridOA_2A_1.25,montant_apc_min_hybridOA_2A_1.25,montant_apc_max_hybridOA_2A_1.25,mean_APC_total,mean_APC_total_min,mean_APC_total_max,nb_articles_total,nb_articles_total_min,nb_articles_total_max,montant_apc_total,montant_apc_total_min,montant_apc_total_max
2013,1387.11690928559,1387.11690928559,1387.11690928559,4272,4272,4272,5925763.43646804,5925763.43646804,5925763.43646804,2387.68335860511,2387.68335860511,2387.68335860511,557,557,557,1329939.63074305,1329939.63074305,1329939.63074305,1887.40013394535,1887.40013394535,1887.40013394535,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109
2014,1413.0689030996,1413.0689030996,1413.0689030996,4747,4747,4747,6707838.08301378,6707838.08301378,6707838.08301378,2335.1100517889,2335.1100517889,2335.1100517889,855,855,855,1996519.09427951,1996519.09427951,1996519.09427951,1874.08947744425,1874.08947744425,1874.08947744425,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329
2015,1558.95174294198,1558.95174294198,1558.95174294198,5526,5526,5526,8614767.33149739,8614767.33149739,8614767.33149739,2413.48355097287,2413.48355097287,2413.48355097287,862,862,862,2080422.82093862,2080422.82093862,2080422.82093862,1986.21764695743,1986.21764695743,1986.21764695743,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436
2016,1636.09023881922,1636.09023881922,1636.09023881922,6287,6287,6287,10286099.3314564,10286099.3314564,10286099.3314564,2406.99691909277,2406.99691909277,2406.99691909277,1016,1016,1016,2445508.86979826,2445508.86979826,2445508.86979826,2021.54357895599,2021.54357895599,2021.54357895599,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547
2017,1651.29956379868,1651.29956379868,1651.29956379868,7074,7074,7074,11681293.1143119,11681293.1143119,11681293.1143119,2532.34350999187,2532.34350999187,2532.34350999187,1101,1101,1101,2788110.20450105,2788110.20450105,2788110.20450105,2091.82153689528,2091.82153689528,2091.82153689528,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129
2018,1664.16575845204,1664.16575845204,1664.16575845204,7749,7749,7749,12895620.4622449,12895620.4622449,12895620.4622449,2391.53207855776,2391.53207855776,2391.53207855776,1361,1361,1361,3254875.15891711,3254875.15891711,3254875.15891711,2027.8489185049,2027.8489185049,2027.8489185049,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162
2019,1703.72570204142,1703.72570204142,1703.72570204142,9052,9052,9052,15422125.0548789,15422125.0548789,15422125.0548789,2284.29829150165,2284.29829150165,2284.29829150165,1570,1570,1570,3586348.31765758,3586348.31765758,3586348.31765758,1994.01199677153,1994.01199677153,1994.01199677153,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365
2020,1744.82134970476,1744.82134970476,1744.82134970476,11742,11742,11742,20487692.2882333,20487692.2882333,20487692.2882333,2326.45931972975,2326.45931972975,2326.45931972975,2014,2014,2014,4685489.06993572,4685489.06993572,4685489.06993572,2035.64033471725,2035.64033471725,2035.64033471725,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169
2021,1839.99169153592,1839.00633261799,1840.97705045385,12951,12895,13007,23829732.3970817,23713986.659109,23945588.4952532,2313.88567804301,2312.66396530455,2315.10739078146,2014,2014,2014,4660165.75557862,4657705.22612337,4662626.28503387,2076.93868478946,2075.83514896127,2078.04222061765,14965,14909,15021,28489898.1526603,28371691.8852323,28608214.780287
2022,1935.16203336708,1933.19131553122,1937.13275120293,14159,14047,14271,27399959.2304445,27155538.4092671,27644821.4924171,2301.31203635627,2298.86861087935,2303.75546183318,2014,2014,2014,4634842.44122152,4629921.38231102,4639763.50013202,2118.23703486167,2116.02996320529,2120.44410651805,16173,16061,16285,32034801.671666,31785459.7915781,32284584.9925491
